sub_category,average_rating,discount_pct,selling_price
"Kurtas, Ethnic Sets and Bottoms",0.0,57.0,850.0
"Kurtas, Ethnic Sets and Bottoms",3.0,64.0,566.0
"Kurtas, Ethnic Sets and Bottoms",5.0,55.0,719.0
"Kurtas, Ethnic Sets and Bottoms",0.0,58.0,629.0
"Kurtas, Ethnic Sets and Bottoms",0.0,42.0,922.0
"Kurtas, Ethnic Sets and Bottoms",3.0,64.0,566.0
"Kurtas, Ethnic Sets and Bottoms",0.0,58.0,836.0
"Kurtas, Ethnic Sets and Bottoms",3.0,64.0,566.0
"Kurtas, Ethnic Sets and Bottoms",3.0,35.0,1035.0
"Kurtas, Ethnic Sets and Bottoms",3.0,64.0,566.0
"Kurtas, Ethnic Sets and Bottoms",0.0,41.0,1179.0
"Kurtas, Ethnic Sets and Bottoms",0.0,29.0,1408.0
"Kurtas, Ethnic Sets and Bottoms",0.0,58.0,629.0
"Kurtas, Ethnic Sets and Bottoms",3.0,64.0,566.0
"Kurtas, Ethnic Sets and Bottoms",0.0,58.0,629.0
"Kurtas, Ethnic Sets and Bottoms",4.0,46.0,863.0
"Kurtas, Ethnic Sets and Bottoms",5.0,55.0,719.0
"Kurtas, Ethnic Sets and Bottoms",3.0,35.0,1035.0
"Kurtas, Ethnic Sets and Bottoms",3.0,35.0,1035.0
"Kurtas, Ethnic Sets and Bottoms",0.0,41.0,1179.0
"Kurtas, Ethnic Sets and Bottoms",4.0,46.0,863.0
"Kurtas, Ethnic Sets and Bottoms",0.0,46.0,859.0
"Kurtas, Ethnic Sets and Bottoms",0.0,49.0,751.0
"Kurtas, Ethnic Sets and Bottoms",0.0,55.0,895.0
"Kurtas, Ethnic Sets and Bottoms",0.0,40.0,958.0
"Kurtas, Ethnic Sets and Bottoms",0.0,28.0,1079.0
"Kurtas, Ethnic Sets and Bottoms",0.0,46.0,859.0
"Kurtas, Ethnic Sets and Bottoms",0.0,51.0,724.0
"Kurtas, Ethnic Sets and Bottoms",0.0,55.0,895.0
"Kurtas, Ethnic Sets and Bottoms",0.0,55.0,895.0
"Kurtas, Ethnic Sets and Bottoms",0.0,55.0,895.0
"Kurtas, Ethnic Sets and Bottoms",0.0,55.0,895.0
"Kurtas, Ethnic Sets and Bottoms",0.0,55.0,895.0
"Kurtas, Ethnic Sets and Bottoms",0.0,55.0,895.0
"Kurtas, Ethnic Sets and Bottoms",0.0,55.0,895.0
"Kurtas, Ethnic Sets and Bottoms",0.0,55.0,895.0
"Kurtas, Ethnic Sets and Bottoms",0.0,41.0,999.0
"Kurtas, Ethnic Sets and Bottoms",0.0,41.0,999.0
"Kurtas, Ethnic Sets and Bottoms",0.0,41.0,999.0
"Kurtas, Ethnic Sets and Bottoms",0.0,57.0,850.0
"Kurtas, Ethnic Sets and Bottoms",0.0,59.0,724.0
"Kurtas, Ethnic Sets and Bottoms",0.0,41.0,1102.0
"Kurtas, Ethnic Sets and Bottoms",4.0,46.0,863.0
"Kurtas, Ethnic Sets and Bottoms",4.0,46.0,863.0
"Kurtas, Ethnic Sets and Bottoms",3.0,35.0,1035.0
"Kurtas, Ethnic Sets and Bottoms",0.0,29.0,1408.0
"Kurtas, Ethnic Sets and Bottoms",0.0,42.0,859.0
"Kurtas, Ethnic Sets and Bottoms",0.0,51.0,971.0
"Kurtas, Ethnic Sets and Bottoms",0.0,42.0,859.0
"Kurtas, Ethnic Sets and Bottoms",0.0,42.0,859.0
